NM_001001398.2 fgf6a
XM_068215904.1 ptpn13
XM_068215905.1 ptpn13
XM_068215906.1 gtf2f1
XM_068215907.1 ptpn13
XM_068215908.1 gtf2f1
XM_068215909.1 klf8
XM_068215910.1 cast
XM_068215911.1 cast
XM_068215912.1 cast
XM_068215913.1 zgc:162344
XM_068215914.1 skp2
XM_068215915.1 ppm1nb
XM_068215916.1 glulc
XM_068215917.1 arhgap42a
XM_068215918.1 micall2a
XM_068215919.1 zgc:163077
XM_068215920.1 zgc:163077
XM_068215921.1 micall2a
XM_068215922.1 mapk10
XM_068215923.1 mapk10
XM_068215924.1 ndst1b
XM_068215925.1 ppp1r26
XM_068215926.1 efemp2b
XM_068215927.1 efemp2b
XM_068215928.1 efemp2b
XM_068215929.1 plrdgb
XM_068215930.1 zgc:152948
XM_068215931.1 pigs
XM_068215932.1 irf1b
XM_068215933.1 irf1b
XM_068215934.1 si:dkey-65l23.2
XM_068215935.1 si:dkey-65l23.2
XM_068215936.1 hgs
XM_068215937.1 hgs
XM_068215938.1 f2rl1.1
XM_068215939.1 hgs
XM_068215940.1 hgs
XM_068215941.1 hgs
XM_068215942.1 LOC137488767
XM_068215943.1 acsl6
XM_068215944.1 dmgdh
XM_068215945.1 znf462
XM_068215946.1 rab27b
XM_068215947.1 strada
XM_068215948.1 LOC101883936
XM_068215949.1 si:ch73-299h12.4
XM_068215950.1 si:ch73-299h12.4
XM_068215951.1 si:ch211-241b2.5
XM_068215952.1 si:ch211-241b2.5
XM_068215953.1 si:ch211-241b2.5
XM_068215954.1 LOC103909401
XM_068215955.1 LOC110438218
XM_068215956.1 LOC110438218
XM_068215957.1 LOC100331532
XM_068215958.1 LOC110437744
XM_068215959.1 LOC137488774
XM_068215960.1 ctif
XM_068215961.1 setx
XM_068215962.1 setx
XM_068215963.1 setx
XM_068215964.1 kcnt1a
XM_068215965.1 kcnt1a
XM_068215966.1 kcnt1a
XM_068215967.1 ark2ca
XM_068215968.1 LOC103909414
XM_068215969.1 LOC103909414
XM_068215970.1 si:dkey-84o3.2
XM_068215971.1 slc4a4b
XM_068215972.1 fnbp1b
XM_068215973.1 fnbp1b
XM_068215974.1 fnbp1b
XM_068215975.1 fnbp1b
XM_068215976.1 fnbp1b
XM_068215977.1 fnbp1b
XM_068215978.1 fnbp1b
XM_068215979.1 fnbp1b
XM_068215980.1 fnbp1b
XM_068215981.1 fnbp1b
XM_068215982.1 fnbp1b
XM_068215983.1 fnbp1b
XM_068215984.1 fnbp1b
XM_068215985.1 fnbp1b
XM_068215986.1 fnbp1b
XM_068215987.1 fnbp1b
XM_068215988.1 fnbp1b
XM_068215989.1 LOC794215
XM_068215990.1 nek6
XM_068215991.1 nek6
XM_068215992.1 nek6
XM_068215993.1 LOC100334297
XM_068215994.1 LOC100334297
XM_068215995.1 znf532
XM_068215996.1 znf532
XM_068215997.1 znf532
XM_068215998.1 znf532
XM_068215999.1 cdr2l
XM_068216000.1 nedd4l
XM_068216001.1 nedd4l
XM_068216002.1 nedd4l
XM_068216003.1 nedd4l
XM_068216004.1 nedd4l
XM_068216005.1 nedd4l
XM_068216006.1 nedd4l
XM_068216007.1 nedd4l
XM_068216008.1 nedd4l
XM_068216009.1 nedd4l
XM_068216010.1 nedd4l
XM_068216011.1 myorg
XM_068216012.1 specc1lb
XM_068216013.1 si:dkey-248f6.3
XM_068216014.1 nsmfa
XM_068216015.1 akna
XM_068216016.1 cacna1bb
XM_068216017.1 cacna1bb
XM_068216018.1 si:dkey-11o18.5
XM_068216019.1 si:dkey-11o18.5
XM_068216020.1 ulk1b
XM_068216021.1 si:dkey-11o15.4
XM_068216022.1 LOC137487312
XM_068216023.1 LOC103908709
XM_068216024.1 cyb561a3b
XM_068216025.1 vav2
XM_068216026.1 vav2
XM_068216027.1 LOC137488799
XM_068216028.1 fyb1b
XM_068216029.1 fyb1b
XM_068216030.1 fyb1b
XM_068216031.1 tnksa
XM_068216032.1 ccdc152
XM_068216033.1 c6.1
XM_068216034.1 septin9a
XM_068216035.1 c6.1
XM_068216036.1 c6.1
XM_068216037.1 c6.1
XM_068216038.1 septin9a
XM_068216039.1 septin9a
XM_068216040.1 meiosin
XM_068216041.1 gdpd4b
XM_068216042.1 dcaf7
XM_068216043.1 vsig10l2
XM_068216044.1 LOC137488811
XM_068216045.1 LOC137488811
XM_068216046.1 LOC137488811
XM_068216047.1 fbxo40.2
XM_068216048.1 angptl5
XM_068216049.1 LOC137488812
XM_068216050.1 htr3a
XM_068216051.1 htr3a
XM_068216052.1 arhgap32b
XM_068216053.1 igsf9bb
XM_068216054.1 igsf9bb
XM_068216055.1 igsf9bb
XM_068216056.1 igsf9bb
XM_068216057.1 dixdc1b
XM_068216058.1 caln2
XM_068216059.1 si:dkey-19f23.1
XM_068216060.1 si:dkey-19f23.1
XM_068216061.1 mark2a
XM_068216062.1 mark2a
XM_068216063.1 mark2a
XM_068216064.1 mark2a
XM_068216065.1 mark2a
XM_068216066.1 mark2a
XM_068216067.1 mark2a
XM_068216068.1 mark2a
XM_068216069.1 mark2a
XM_068216070.1 si:ch211-57b15.2
XM_068216071.1 LOC101887156
XM_068216072.1 LOC137488823
XM_068216073.1 LOC137487225
XM_068216074.1 LOC137487225
XM_068216075.1 LOC137487222
XM_068216076.1 LOC103909472
XM_068216077.1 LOC103909472
XM_068216078.1 LOC103909472
XM_068216079.1 LOC101883236
XM_068216080.1 LOC101883236
XM_068216081.1 LOC101883236
XM_068216082.1 LOC101883236
XM_068216083.1 LOC101883236
XM_068216084.1 LOC137487250
XM_068216085.1 LOC110437833
XM_068216086.1 LOC110437833
XM_068216087.1 LOC110437833
XM_068216088.1 LOC110437833
XM_068216089.1 LOC110437833
XM_068216090.1 LOC110437833
XM_068216091.1 LOC137488825
XM_068216092.1 LOC137487226
XM_068216093.1 LOC101882892
XM_068216094.1 LOC101882892
XM_068216095.1 LOC101882892
XM_068216096.1 LOC101882892
XM_068216097.1 LOC101882892
XM_068216098.1 LOC101882892
XM_068216099.1 LOC101882892
XM_068216100.1 LOC100537585
XM_068216101.1 LOC110437790
XM_068216102.1 LOC110437790
XM_068216103.1 LOC110437790
XM_068216104.1 LOC110437790
XM_068216105.1 LOC110437790
XM_068216106.1 LOC110437790
XM_068216107.1 LOC110437790
XM_068216108.1 LOC110437790
XM_068216109.1 LOC137488826
XM_068216110.1 rab38c
XM_068216111.1 LOC101886266
XM_068216112.1 LOC101886266
XM_068216113.1 LOC137488831
XM_068216114.1 tenm2b
XM_068216115.1 tenm2b
XM_068216116.1 tenm2b
XM_068216117.1 tenm2b
XM_068216118.1 tenm2b
XM_068216119.1 LOC137488833
XM_068216120.1 stat5a
XM_068216121.1 clint1b
XM_068216122.1 clint1b
XM_068216123.1 ebf1b
XM_068216124.1 si:dkey-71d15.2
XM_068216125.1 si:dkey-71d15.2
XM_068216126.1 si:dkey-71d15.2
XM_068216127.1 tmprss15
XM_068216128.1 il12bb
XM_068216129.1 nsd1b
XM_068216130.1 nsd1b
XM_068216131.1 pof1b
XM_068216132.1 aifm5
XM_068216133.1 LOC137488843
XM_068216134.1 LOC100150676
XM_068216135.1 plac8l1
XM_068216136.1 LOC101882530
XM_068216137.1 LOC101882530
XM_068216138.1 LOC101882530
XM_068216139.1 gtpbp1
XM_068216140.1 LOC137488848
XM_068216141.1 gpr185a
XM_068216142.1 si:ch1073-263o8.2
XM_068216143.1 si:ch1073-263o8.2
XM_068216144.1 si:ch1073-263o8.2
XM_068216145.1 si:ch211-263m18.4
XM_068216146.1 si:ch211-263m18.4
XM_068216147.1 si:ch211-263m18.4
XM_068216148.1 abat
XM_068216149.1 si:ch211-263m18.4
XM_068216150.1 si:ch211-263m18.4
XM_068216151.1 wu:fi34e01
XM_068216152.1 wu:fi34e01
XM_068216153.1 wu:fi34e01
XM_068216154.1 aff4
XM_068216155.1 aff4
XM_068216156.1 aff4
XM_068216157.1 LOC100005008
XM_068216158.1 LOC100005008
XM_068216159.1 LOC100005008
XM_068216160.1 LOC100005008
XM_068216161.1 LOC137488852
XM_068216162.1 LOC137488852
XM_068216163.1 LOC137488852
XM_068216164.1 LOC137488854
XM_068216165.1 LOC137488855
XM_068216166.1 ppef2b
XM_068216167.1 LOC137488856
XM_068216168.1 LOC101883704
XM_068216169.1 si:dkey-50i6.6
XM_068216170.1 LOC137488857
XM_068216171.1 LOC137488858
XM_068216172.1 LOC556594
XM_068216173.1 LOC797311
XM_068216174.1 LOC137488859
XM_068216175.1 LOC101885828
XM_068216176.1 LOC799834
XM_068216177.1 ly6m4
XM_068216178.1 LOC108180740
XM_068216179.1 LOC103909452
XM_068216180.1 LOC137488865
XM_068216181.1 LOC110438249
XM_068216182.1 LOC137488873
XM_068216183.1 slc25a39
XM_068216184.1 eftud2
XM_068216185.1 erbb4a
XM_068216186.1 nfil3-4
XM_068216187.1 zgc:171699
XM_068216188.1 zgc:171699
XM_068216189.1 nckipsd
XM_068216190.1 fam163ab
XM_068216191.1 ora2
XM_068216192.1 zmp:0000000652
XM_068216193.1 znf1186
XM_068216194.1 si:dkeyp-53d3.6
XM_068216195.1 zgc:171500
XM_068216196.1 si:dkey-1b17.5
XM_068216197.1 si:dkey-1b17.5
XM_068216198.1 znf1154
XM_068216199.1 si:dkey-1b17.8
XM_068216200.1 znf1179
XM_068216201.1 si:dkey-15h8.17
XM_068216202.1 si:dkey-15h8.17
XM_068216203.1 si:dkey-15h8.17
XM_068216204.1 si:dkey-15h8.17
XM_068216205.1 si:dkey-15h8.17
XM_068216206.1 si:dkey-15h8.17
XM_068216207.1 si:ch211-239m17.1
XM_068216208.1 si:ch211-239m17.1
XM_068216209.1 si:ch211-222k6.1
XM_068216210.1 si:ch211-222k6.1
XM_068216211.1 si:ch211-222k6.1
XM_068216212.1 si:ch211-222k6.1
XM_068216213.1 si:ch211-222k6.1
XM_068216214.1 zgc:162255
XM_068216215.1 ssuh2.4
XM_068216216.1 ssuh2.4
XM_068216217.1 znf1157
XM_068216218.1 znf1157
XM_068216219.1 si:dkey-4c15.14
XM_068216220.1 si:dkey-4c15.14
XM_068216221.1 tm2d1
XM_068216222.1 tm2d1
XM_068216223.1 zgc:173726
XM_068216224.1 zgc:173726
XM_068216225.1 si:ch211-12h2.8
XM_068216226.1 si:dkeyp-98a7.5
XM_068216227.1 srsf3b
XM_068216228.1 abi3bpb
XM_068216229.1 abi3bpb
XM_068216230.1 abi3bpb
XM_068216231.1 rfxank
XM_068216232.1 zgc:173693
XM_068216233.1 LOC100301575
XM_068216234.1 LOC100331830
XM_068216235.1 pycr1a
XM_068216236.1 LOC100331909
XM_068216237.1 si:zfos-588f8.1
XM_068216238.1 si:zfos-588f8.1
XM_068216239.1 si:zfos-588f8.1
XM_068216240.1 si:zfos-588f8.1
XM_068216241.1 si:zfos-588f8.1
XM_068216242.1 si:zfos-588f8.1
XM_068216243.1 si:zfos-588f8.1
XM_068216244.1 si:zfos-588f8.1
XM_068216245.1 si:zfos-588f8.1
XM_068216246.1 si:zfos-588f8.1
XM_068216247.1 si:zfos-588f8.1
XM_068216248.1 si:zfos-588f8.1
XM_068216249.1 cfhl3
XM_068216250.1 cfhl5
XM_068216251.1 LOC131554432
XM_068216252.1 cers4a
XM_068216253.1 mxi1
XM_068216254.1 mxi1
XM_068216255.1 anos1b
XM_068216256.1 mbd3b
XM_068216257.1 cherp
XM_068216258.1 cherp
XM_068216259.1 cherp
XM_068216260.1 patj
XM_068216261.1 patj
XM_068216262.1 hsd11b1la
XM_068216263.1 guca1ab.1
XM_068216264.1 hook2
XM_068216265.1 acy1
XM_068216266.1 acy1
XM_068216267.1 acy1
XM_068216268.1 gatad2ab
XM_068216269.1 gatad2ab
XM_068216270.1 gatad2ab
XM_068216271.1 pla2g6
XM_068216272.1 pla2g6
XM_068216273.1 sass6
XM_068216274.1 sass6
XM_068216275.1 sass6
XM_068216276.1 terf2ip
XM_068216277.1 rbck1
XM_068216278.1 rbck1
XM_068216279.1 elavl2
XM_068216280.1 elavl2
XM_068216281.1 elavl2
XM_068216282.1 elavl2
XM_068216283.1 elavl2
XM_068216284.1 ccnd3
XM_068216285.1 tmem161a
XM_068216286.1 znf1162
XM_068216287.1 znf1162
XM_068216288.1 zgc:113336
XM_068216289.1 necap2
XM_068216290.1 creb3l3a
XM_068216291.1 zgc:113298
XM_068216292.1 zgc:113298
XM_068216293.1 ahr1b
XM_068216294.1 amdhd2
XM_068216295.1 si:ch211-197g15.5
XM_068216296.1 si:dkey-253d23.4
XM_068216297.1 si:dkey-253d23.4
XM_068216298.1 si:ch211-222k6.2
XM_068216299.1 nfia
XM_068216300.1 casc3
XM_068216301.1 nfia
XM_068216302.1 add3a
XM_068216303.1 add3a
XM_068216304.1 add3a
XM_068216305.1 add3a
XM_068216306.1 add3a
XM_068216307.1 map2k4a
XM_068216308.1 tdrd5
XM_068216309.1 atrip
XM_068216310.1 atrip
XM_068216311.1 atrip
XM_068216312.1 bap1
XM_068216313.1 hykk.2
XM_068216314.1 znf1161
XM_068216315.1 znf1161
XM_068216316.1 znf983
XM_068216317.1 znf1173
XM_068216318.1 znf1173
XM_068216319.1 znf1173
XM_068216320.1 crb1
XM_068216321.1 camsap2a
XM_068216322.1 camsap2a
XM_068216323.1 camsap2a
XM_068216324.1 rad23ab
XM_068216325.1 si:ch211-12h2.6
XM_068216326.1 si:dkeyp-53d3.5
XM_068216327.1 si:dkeyp-53d3.5
XM_068216328.1 nptx1l
XM_068216329.1 ap3d1
XM_068216330.1 ap3d1
XM_068216331.1 glsa
XM_068216332.1 znf76
XM_068216333.1 crlf1b
XM_068216334.1 crlf1b
XM_068216335.1 mier2
XM_068216336.1 mier2
XM_068216337.1 mier2
XM_068216338.1 tle2a
XM_068216339.1 tle2a
XM_068216340.1 tle2a
XM_068216341.1 tle2a
XM_068216342.1 capn1b
XM_068216343.1 si:ch211-276k2.2
XM_068216344.1 si:ch211-276k2.2
XM_068216345.1 cdc14ab
XM_068216346.1 cdc14ab
XM_068216347.1 cdc14ab
XM_068216348.1 cdc14ab
XM_068216349.1 cdc14ab
XM_068216350.1 btbd2a
XM_068216351.1 lingo3a
XM_068216352.1 loxl5a
XM_068216353.1 celf5a
XM_068216354.1 bcdin3d
XM_068216355.1 bcdin3d
XM_068216356.1 unc13a
XM_068216357.1 dhps
XM_068216358.1 zgc:175284
XM_068216359.1 zgc:175284
XM_068216360.1 si:dkeyp-34c12.1
XM_068216361.1 cfhl1
XM_068216362.1 ifi44f5
XM_068216363.1 ifi44f4
XM_068216364.1 ifi44f4
XM_068216365.1 cep19
XM_068216366.1 znf207a
XM_068216367.1 nr2c2ap
XM_068216368.1 htr2b
XM_068216369.1 fblim1
XM_068216371.1 ndufaf3
XM_068216372.1 eef2a.1
XM_068216373.1 rnf13
XM_068216374.1 si:dkey-169i5.4
XM_068216375.1 cry4
XM_068216376.1 cry3b
XM_068216377.1 stk38b
XM_068216378.1 kctd20
XM_068216379.1 ampd2a
XM_068216380.1 ampd2a
XM_068216381.1 si:zfos-943e10.1
XM_068216382.1 ptprsa
XM_068216383.1 ptprsa
XM_068216384.1 ptprsa
XM_068216385.1 ptprsa
XM_068216386.1 ptprsa
XM_068216387.1 ptprsa
XM_068216388.1 ptprsa
XM_068216389.1 ptprsa
XM_068216390.1 ptprsa
XM_068216391.1 ptprsa
XM_068216392.1 ptprsa
XM_068216393.1 ptprsa
XM_068216394.1 LOC100332737
XM_068216395.1 LOC797394
XM_068216396.1 LOC797394
XM_068216397.1 si:ch73-256j6.2
XM_068216398.1 matk
XM_068216399.1 LOC101884287
XM_068216400.1 LOC100538212
XM_068216401.1 LOC100148050
XM_068216402.1 si:rp71-36a1.3
XM_068216403.1 LOC100002141
XM_068216404.1 si:dkey-19a16.2
XM_068216405.1 si:ch211-274k16.9
XM_068216406.1 LOC137488899
XM_068216407.1 LOC137487262
XM_068216408.1 LOC110437711
XM_068216409.1 LOC110437711
XM_068216410.1 LOC110437711
XM_068216411.1 LOC110437711
XM_068216412.1 LOC110437711
XM_068216413.1 LOC110437711
XM_068216414.1 LOC108181196
XM_068216415.1 LOC100006557
XM_068216416.1 LOC100006557
XM_068216417.1 LOC137488901
XM_068216418.1 LOC100333939
XM_068216419.1 LOC100329398
XM_068216420.1 fgfr1bl
XM_068216421.1 LOC100151078
XM_068216422.1 LOC100151078
XM_068216423.1 LOC100006764
XM_068216424.1 LOC100536726
XM_068216425.1 LOC100536726
XM_068216426.1 LOC100536726
XM_068216427.1 LOC110438269
XM_068216428.1 LOC101883645
XM_068216429.1 si:ch73-44m9.1
XM_068216430.1 si:ch73-44m9.1
XM_068216431.1 LOC137488906
XM_068216432.1 LOC100536572
XM_068216433.1 LOC137488908
XM_068216434.1 LOC137488908
XM_068216435.1 LOC137488908
XM_068216436.1 arhgef18b
XM_068216437.1 arhgef18b
XM_068216438.1 r3hdm1
XM_068216439.1 r3hdm1
XM_068216440.1 LOC137488914
XM_068216441.1 LOC100151486
XM_068216442.1 LOC101882212
XM_068216443.1 LOC110438299
XM_068216444.1 cts12
XM_068216445.1 rabgap1l
XM_068216446.1 rabgap1l
XM_068216447.1 gpr52
XM_068216448.1 si:ch211-197g15.9
XM_068216449.1 ifi44f3
XM_068216450.1 nr5a5
XM_068216451.1 arhgap45b
XM_068216452.1 arhgap45b
XM_068216453.1 gab1
XM_068216454.1 LOC110438300
XM_068216455.1 si:ch211-212d10.1
XM_068216456.1 si:ch211-212d10.1
XM_068216457.1 LOC137488920
XM_068216458.1 asic2
XM_068216459.1 gna15.3
XM_068216460.1 ankrd24
XM_068216461.1 LOC137488932
XM_068216462.1 LOC101883865
XM_068216463.1 vtg1
XM_068216464.1 LOC100536326
XM_068216465.1 LOC100536326
XM_068216466.1 LOC137487188
XM_068216467.1 LOC103909610
XM_068216468.1 LOC137488948
XM_068216469.1 LOC137488956
XM_068216470.1 LOC137488960
XM_068216471.1 impg2b
XM_068216472.1 LOC137488963
XM_068216473.1 LOC137488963
XM_068216474.1 mafga
XM_068216475.1 LOC100535347
XM_068216476.1 LOC100535347
XM_068216477.1 si:dkey-103k4.2
XM_068216478.1 LOC101883412
XM_068216479.1 LOC101882639
XM_068216480.1 LOC101882639
XM_068216481.1 LOC101883469
XM_068216482.1 si:dkey-49n23.1
XM_068216483.1 grip2b
XM_068216484.1 grip2b
XM_068216485.1 grip2b
XM_068216486.1 grip2b
XM_068216487.1 LOC137488974
XM_068216488.1 kcnip2
XM_068216489.1 armc9
XM_068216490.1 LOC100001620
XM_068216491.1 ifi44g
XM_068216492.1 traf5
XM_068216493.1 si:rp71-23d18.4
XM_068216494.1 vtg8
XM_068216495.1 LOC110438302
XM_068216496.1 LOC110438303
XM_068216497.1 pimr95
XM_068216498.1 LOC137488981
XM_068216499.1 LOC137488982
XM_068216500.1 LOC108179354
XM_068216501.1 LOC137488983
XM_068216502.1 LOC137488984
XM_068216503.1 LOC103909640
XM_068216504.1 LOC137488985
XM_068216505.1 LOC137488986
XM_068216506.1 LOC137488987
XM_068216507.1 LOC100329627
XM_068216508.1 zgc:66156
XM_068216509.1 gab1
XM_068216510.1 pparda
XM_068216511.1 si:ch73-352p18.4
XM_068216512.1 si:ch73-352p18.4
XM_068216513.1 LOC110438262
XM_068216514.1 LOC137487218
XM_068216515.1 LOC110437757
XM_068216516.1 LOC100535941
XM_068216517.1 LOC101883008
XM_068216518.1 znf1159
XM_068216519.1 LOC563477
XM_068216520.1 si:dkey-1b17.1
XM_068216521.1 si:ch211-255f4.12
XM_068216522.1 LOC137487273
XM_068216523.1 LOC100150670
XM_068216524.1 LOC100150670
XM_068216525.1 LOC137488990
XM_068216526.1 LOC137488990
XM_068216527.1 znf1002
XM_068216528.1 LOC108181166
XM_068216529.1 LOC101883031
XM_068216530.1 LOC108181160
XM_068216531.1 LOC110437709
XM_068216532.1 LOC101883509
XM_068216533.1 LOC101883509
XM_068216534.1 LOC137487252
XM_068216535.1 LOC137487252
XM_068216536.1 LOC101884748
XM_068216537.1 znf1184
XM_068216538.1 znf1184
XM_068216539.1 LOC137488991
XM_068216540.1 LOC100148332
XM_068216541.1 LOC103909509
XM_068216542.1 znf1171
XM_068216543.1 znf1171
XM_068216544.1 znf1171
XM_068216545.1 LOC101885180
XM_068216546.1 LOC101885180
XM_068216547.1 LOC137487328
XM_068216548.1 LOC101883867
XM_068216549.1 LOC101883867
XM_068216550.1 znf1178
XM_068216551.1 znf1178
XM_068216552.1 znf1168
XM_068216553.1 LOC137488993
XM_068216554.1 LOC100334054
XM_068216555.1 LOC108181080
XM_068216556.1 si:ch211-11p18.6
XM_068216557.1 si:ch211-11p18.6
XM_068216558.1 si:ch211-11p18.6
XM_068216559.1 rnh1
XM_068216560.1 si:ch211-250k18.7
XM_068216561.1 si:ch211-250k18.7
XM_068216562.1 si:ch211-250k18.7
XM_068216563.1 LOC110437710
XM_068216564.1 LOC137488996
XM_068216565.1 LOC137488997
XM_068216566.1 LOC137488997
XM_068216567.1 LOC137488997
XM_068216568.1 si:dkey-253d23.2
XM_068216569.1 LOC100320194
XM_068216570.1 LOC101886796
XM_068216571.1 si:dkey-182g1.3
XM_068216572.1 si:ch73-27e22.6
XM_068216573.1 LOC100334619
XM_068216574.1 LOC103909545
XM_068216575.1 LOC100007966
XM_068216576.1 si:dkey-182g1.2
XM_068216577.1 LOC137487248
XM_068216578.1 LOC100331045
XM_068216579.1 LOC137488998
XM_068216580.1 cacnb1
XM_068216581.1 LOC110438257
XM_068216582.1 LOC137488999
XM_068216583.1 LOC137489000
XM_068216584.1 kdm8
XM_068216585.1 LOC137489024
XM_068216586.1 LOC137489025
XM_068216587.1 LOC137489026
XM_068216588.1 LOC100536587
XM_068216589.1 LOC137489027
XM_068216590.1 LOC137489028
XM_068216591.1 LOC137489029
XM_068216592.1 LOC110438297
XM_068216593.1 LOC110438273
XM_068216594.1 LOC137489030
XM_068216595.1 LOC137489031
XM_068216596.1 LOC137489032
XM_068216597.1 LOC101884621
XM_068216598.1 LOC101884310
XM_068216599.1 LOC108179143
XM_068216600.1 si:ch73-92e7.6
XM_068216601.1 LOC101882596
XM_068216602.1 LOC137489033
XM_068216603.1 LOC137489034
XM_068216604.1 LOC137489035
XM_068216605.1 LOC137489036
XM_068216606.1 zmp:0000001161
XM_068216607.1 LOC137489038
XM_068216608.1 LOC110438293
XM_068216609.1 LOC101884288
XM_068216610.1 LOC137489039
XM_068216611.1 LOC108181082
XM_068216612.1 LOC137489040
XM_068216613.1 LOC137489041
XM_068216614.1 LOC137489042
XM_068216615.1 LOC110438295
XM_068216616.1 LOC137489043
XM_068216617.1 LOC100334996
XM_068216618.1 LOC137489044
XM_068216619.1 LOC101886743
XM_068216620.1 LOC110438296
XM_068216621.1 LOC137489045
XM_068216622.1 LOC137489046
XM_068216623.1 LOC137487206
XM_068216624.1 LOC137489047
XM_068216625.1 LOC137489048
XM_068216626.1 LOC137489049
XM_068216627.1 LOC137489050
XM_068216628.1 LOC137489051
XM_068216629.1 LOC137489053
XM_068216630.1 LOC137489054
XM_068216631.1 LOC101883802
XM_068216632.1 LOC108181084
XM_068216633.1 LOC137489055
XM_068216634.1 si:dkey-21e2.8
XM_068216635.1 LOC137489056
XM_068216636.1 si:dkey-78l4.2
XM_068216637.1 LOC558805
XM_068216638.1 si:dkey-110c1.10
XM_068216639.1 LOC101884238
XM_068216640.1 ptprc
XM_068216641.1 LOC110439106
XM_068216642.1 socs1a
XM_068216643.1 yipf2
XM_068216644.1 zgc:194242
XM_068216645.1 ccdc187
XM_068216646.1 dnajb1a
XM_068216647.1 kif3b
XM_068216648.1 si:ch73-142c19.1
XM_068216649.1 edn3b
XM_068216650.1 rgs19
XM_068216651.1 rgs19
XM_068216652.1 rgs19
XM_068216653.1 rgs19
XM_068216654.1 ognb
XM_068216655.1 si:rp71-80o10.4
XM_068216656.1 iqsec1a
XM_068216657.1 alkal2a
XM_068216658.1 tpx2
XM_068216659.1 mitfb
XM_068216660.1 ube4b
XM_068216661.1 phc2a
XM_068216662.1 wnt10b
XM_068216663.1 pou6f1
XM_068216664.1 rarga
XM_068216665.1 rarga
XM_068216666.1 rarga
XM_068216667.1 l1camb
XM_068216668.1 rbbp6
XM_068216669.1 dnmt3bb.2
XM_068216670.1 nfe2
XM_068216671.1 lama5
XM_068216672.1 ttpal
XM_068216673.1 tafazzin
XM_068216674.1 sulf2b
XM_068216675.1 sulf2b
XM_068216676.1 sulf2b
XM_068216677.1 sulf2b
XM_068216678.1 hnf4a
XM_068216679.1 emp2
XM_068216680.1 prkcbp1l
XM_068216681.1 dnmt3bb.3
XM_068216682.1 otud4
XM_068216683.1 ndrg3b
XM_068216684.1 ndrg3b
XM_068216685.1 rnf146
XM_068216686.1 pdxdc1
XM_068216687.1 ccnt1
XM_068216688.1 calcoco1a
XM_068216689.1 pdxdc1
XM_068216690.1 pdxdc1
XM_068216691.1 rpl10
XM_068216692.1 pdxdc1
XM_068216693.1 chia.4
XM_068216694.1 slc34a2b
XM_068216695.1 kif1b
XM_068216696.1 kif1b
XM_068216697.1 kif1b
XM_068216698.1 kif1b
XM_068216699.1 kif1b
XM_068216700.1 kif1b
XM_068216701.1 kif1b
XM_068216702.1 kif1b
XM_068216703.1 kif1b
XM_068216704.1 kif1b
XM_068216705.1 kif1b
XM_068216706.1 kif1b
XM_068216707.1 grtp1a
XM_068216708.1 dtx3
XM_068216709.1 mrgbp
XM_068216710.1 tcea2
XM_068216711.1 pfkfb2a
XM_068216712.1 pfkfb2a
XM_068216713.1 rbfox1
XM_068216714.1 rbfox1
XM_068216715.1 asxl1
XM_068216716.1 asxl1
XM_068216717.1 rbfox1
XM_068216718.1 rbfox1
XM_068216719.1 dip2ba
XM_068216720.1 hmga1a
XM_068216721.1 hmga1a
XM_068216722.1 rbfox1
XM_068216723.1 fmnl3
XM_068216724.1 rbfox1
XM_068216725.1 rbfox1
XM_068216726.1 rbfox1
XM_068216727.1 taf11
XM_068216728.1 rbfox1
XM_068216729.1 lemd1
XM_068216730.1 slc17a9b
XM_068216731.1 rbfox1
XM_068216732.1 mfsd5
XM_068216733.1 mfsd5
XM_068216734.1 mfsd5
XM_068216735.1 arf3a
XM_068216736.1 tlcd4b
XM_068216737.1 tlcd4b
XM_068216738.1 tlcd4b
XM_068216739.1 gpsm2l
XM_068216740.1 kansl2
XM_068216741.1 tlcd4b
XM_068216742.1 lrrc23
XM_068216743.1 baz2a
XM_068216744.1 aimp1b
XM_068216745.1 aimp1b
XM_068216746.1 aimp1b
XM_068216747.1 aimp1b
XM_068216748.1 xkr7b
XM_068216749.1 si:ch211-226m16.3
XM_068216750.1 thap3
XM_068216751.1 acp1
XM_068216752.1 acp1
XM_068216753.1 zgc:112994
XM_068216754.1 zgc:112994
XM_068216755.1 zgc:112994
XM_068216756.1 zgc:112994
XM_068216757.1 zgc:112994
XM_068216758.1 zgc:112994
XM_068216759.1 zgc:112994
XM_068216760.1 zgc:112994
XM_068216761.1 zgc:112994
XM_068216762.1 zgc:112994
XM_068216763.1 zgc:112994
XM_068216764.1 zgc:112994
XM_068216765.1 zgc:112994
XM_068216766.1 zgc:112994
XM_068216767.1 cdc42l2
XM_068216768.1 cdc42l2
XM_068216769.1 tbc1d16
XM_068216770.1 b4galnt1a
XM_068216771.1 mylk2
XM_068216772.1 huwe1
XM_068216773.1 tmem269
XM_068216774.1 cln3
XM_068216775.1 fignl2
XM_068216776.1 fignl2
XM_068216777.1 si:dkey-93l1.9
XM_068216778.1 kcna2b
XM_068216779.1 ddx19a
XM_068216780.1 fbxo6.2
XM_068216781.1 fbxo6.2
XM_068216782.1 kcnab2b
XM_068216783.1 kcnab2b
XM_068216784.1 kcnab2b
XM_068216785.1 agrn
XM_068216786.1 chl1a
